"","Western_Conference","W","L","W/L_percent","GB","PS/G","PA/G","SRS","Year"
"109","Sacramento Kings*","44","38",".537","10.0","98.9","97.3","1.61",2006
"110","Golden State Warriors","34","48",".415","20.0","98.5","99.8","-1.11",2006
"111","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division",2006
"112","San Antonio Spurs*","63","19",".768","—","95.6","88.8","6.69",2006
"113","Dallas Mavericks*","60","22",".732","3.0","99.1","93.1","5.96",2006
"114","Memphis Grizzlies*","49","33",".598","14.0","92.2","88.5","3.74",2006
"115","New Orleans/Oklahoma City Hornets","38","44",".463","25.0","92.8","95.6","-2.51",2006
"116","Houston Rockets","34","48",".415","29.0","90.1","91.7","-1.30",2006
"117","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division",2007
"118","Utah Jazz*","51","31",".622","—","101.5","98.6","3.06",2007
"119","Denver Nuggets*","45","37",".549","6.0","105.4","103.7","1.69",2007
"120","Portland Trail Blazers","32","50",".390","19.0","94.1","98.4","-3.78",2007
"121","Minnesota Timberwolves","32","50",".390","19.0","96.1","99.7","-3.16",2007
"122","Seattle SuperSonics","31","51",".378","20.0","99.1","102.0","-2.45",2007
"123","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division",2007
"124","Phoenix Suns*","61","21",".744","—","110.2","102.9","7.28",2007
"125","Los Angeles Lakers*","42","40",".512","19.0","103.3","103.4","0.24",2007
"126","Golden State Warriors*","42","40",".512","19.0","106.5","106.9","0.00",2007
"127","Los Angeles Clippers","40","42",".488","21.0","95.6","96.1","-0.07",2007
"128","Sacramento Kings","33","49",".402","28.0","101.3","103.1","-1.35",2007
"129","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division",2007
"130","Dallas Mavericks*","67","15",".817","—","100.0","92.8","7.28",2007
"131","San Antonio Spurs*","58","24",".707","9.0","98.5","90.1","8.35",2007
"132","Houston Rockets*","52","30",".634","15.0","97.0","92.1","5.04",2007
"133","New Orleans/Oklahoma City Hornets","39","43",".476","28.0","95.5","97.1","-1.19",2007
"134","Memphis Grizzlies","22","60",".268","45.0","101.6","106.7","-4.44",2007
"135","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division",2008
"136","Utah Jazz*","54","28",".659","—","106.2","99.3","6.86",2008
"137","Denver Nuggets*","50","32",".610","4.0","110.7","107.0","3.74",2008
"138","Portland Trail Blazers","41","41",".500","13.0","95.4","96.3","-0.52",2008
"139","Minnesota Timberwolves","22","60",".268","32.0","95.6","102.4","-6.26",2008
"140","Seattle SuperSonics","20","62",".244","34.0","97.5","106.3","-8.04",2008
"141","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division",2008
"142","Los Angeles Lakers*","57","25",".695","—","108.6","101.3","7.34",2008
"143","Phoenix Suns*","55","27",".671","2.0","110.1","105.0","5.14",2008
"144","Golden State Warriors","48","34",".585","9.0","111.0","108.8","2.38",2008
"145","Sacramento Kings","38","44",".463","19.0","102.5","104.8","-1.86",2008
"146","Los Angeles Clippers","23","59",".280","34.0","93.8","101.1","-6.56",2008
"147","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division",2008
"148","New Orleans Hornets*","56","26",".683","—","100.9","95.6","5.46",2008
"149","San Antonio Spurs*","56","26",".683","—","95.4","90.6","5.10",2008
"150","Houston Rockets*","55","27",".671","1.0","96.7","92.0","4.83",2008
"151","Dallas Mavericks*","51","31",".622","5.0","100.4","95.9","4.70",2008
