"","Eastern_Conference","W","L","W/L_percent","GB","PS/G","PA/G","SRS","Year"
"380","Central Division","Central Division","Central Division","Central Division","Central Division","Central Division","Central Division","Central Division",2021
"381","Milwaukee Bucks*","46","26",".639","—","120.1","114.2","5.57",2021
"382","Indiana Pacers","34","38",".472","12.0","115.3","115.3","-0.13",2021
"383","Chicago Bulls","31","41",".431","15.0","110.7","111.6","-0.94",2021
"384","Cleveland Cavaliers","22","50",".306","24.0","103.8","112.3","-8.19",2021
"385","Detroit Pistons","20","52",".278","26.0","106.6","111.1","-4.38",2021
"386","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division",2021
"387","Atlanta Hawks*","41","31",".569","—","113.7","111.4","2.14",2021
"388","Miami Heat*","40","32",".556","1.0","108.1","108.0","-0.06",2021
"389","Washington Wizards*","34","38",".472","7.0","116.6","118.5","-1.85",2021
"390","Charlotte Hornets","33","39",".458","8.0","109.5","111.4","-1.94",2021
"391","Orlando Magic","21","51",".292","20.0","104.0","113.3","-9.02",2021
"392","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division",2022
"393","Boston Celtics*","51","31",".622","—","111.8","104.5","7.02",2022
"394","Philadelphia 76ers*","51","31",".622","—","109.9","107.3","2.57",2022
"395","Toronto Raptors*","48","34",".585","3.0","109.4","107.1","2.38",2022
"396","Brooklyn Nets*","44","38",".537","7.0","112.9","112.1","0.82",2022
"397","New York Knicks","37","45",".451","14.0","106.5","106.6","-0.01",2022
"398","Central Division","Central Division","Central Division","Central Division","Central Division","Central Division","Central Division","Central Division",2022
"399","Milwaukee Bucks*","51","31",".622","—","115.5","112.1","3.22",2022
"400","Chicago Bulls*","46","36",".561","5.0","111.6","112.0","-0.38",2022
"401","Cleveland Cavaliers","44","38",".537","7.0","107.8","105.7","2.04",2022
"402","Indiana Pacers","25","57",".305","26.0","111.5","114.9","-3.26",2022
"403","Detroit Pistons","23","59",".280","28.0","104.8","112.5","-7.36",2022
"404","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division",2022
"405","Miami Heat*","53","29",".646","—","110.0","105.6","4.23",2022
"406","Atlanta Hawks*","43","39",".524","10.0","113.9","112.4","1.55",2022
"407","Charlotte Hornets","43","39",".524","10.0","115.3","114.9","0.53",2022
"408","Washington Wizards","35","47",".427","18.0","108.6","112.0","-3.23",2022
"409","Orlando Magic","22","60",".268","31.0","104.2","112.2","-7.67",2022
"410","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division",2023
"411","Boston Celtics* (2)","57","25",".695","—","117.9","111.4","6.38",2023
"412","Philadelphia 76ers* (3)","54","28",".659","3.0","115.2","110.9","4.37",2023
"413","New York Knicks* (5)","47","35",".573","10.0","116.0","113.1","2.99",2023
"414","Brooklyn Nets* (6)","45","37",".549","12.0","113.4","112.5","1.03",2023
"415","Toronto Raptors* (9)","41","41",".500","16.0","112.9","111.4","1.59",2023
"416","Central Division","Central Division","Central Division","Central Division","Central Division","Central Division","Central Division","Central Division",2023
"417","Milwaukee Bucks* (1)","58","24",".707","—","116.9","113.3","3.61",2023
"418","Cleveland Cavaliers* (4)","51","31",".622","7.0","112.3","106.9","5.23",2023
"419","Chicago Bulls* (10)","40","42",".488","18.0","113.1","111.8","1.37",2023
"420","Indiana Pacers (11)","35","47",".427","23.0","116.3","119.5","-2.91",2023
"421","Detroit Pistons (15)","17","65",".207","41.0","110.3","118.5","-7.73",2023
"422","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division",2023
"423","Miami Heat* (7)","44","38",".537","—","109.5","109.8","-0.13",2023
"424","Atlanta Hawks* (8)","41","41",".500","3.0","118.4","118.1","0.32",2023
"425","Washington Wizards (12)","35","47",".427","9.0","113.2","114.4","-1.06",2023
"426","Orlando Magic (13)","34","48",".415","10.0","111.4","114.0","-2.39",2023
"427","Charlotte Hornets (14)","27","55",".329","17.0","111.0","117.2","-5.89",2023
