"","Rk","Team","Age","W","L","WL_percent","PW","PL","OPtg","DRtg","NRtg","Pace","FTr","3PAr","TS_percent","eFG_percent_offense","TOV_percent_offense","ORB_percent","FT/FGA_offense","eFG_percent_defense","TOV_percent_defense","DRB_percent","FT/FGA_defense","...24","...25","Year"
"126","","League Average","27.6","","","","6","5","108.2","108.2","","89.2",".354",".223",".547",NA,".498","13.2","25.9",".268",NA,".498","13.2","74.1",".268",2006
"127","Rk","Tm","Age","W","L","W/L%","PW","PL","ORtg","DRtg","NRtg","Pace","FTr","3PAr","TS%",NA,"eFG%","TOV%","ORB%","FT/FGA",NA,"eFG%","TOV%","DRB%","FT/FGA",2007
"128","1","Phoenix Suns","27.9","6","5",".545","7","4","110.6","105.3","+5.3","94.1",".298",".229",".562",NA,".520","13.0","23.4",".232",NA,".492","13.8","71.6",".213",2007
"129","2","San Antonio Spurs","30.8","16","4",".800","13","7","107.6","103.1","+4.5","88.9",".317",".256",".547",NA,".508","13.7","26.4",".229",NA,".471","13.9","72.4",".228",2007
"130","3","Detroit Pistons","29.5","10","6",".625","10","6","105.2","101.8","+3.4","85.8",".346",".219",".522",NA,".468","13.2","28.7",".266",NA,".462","14.3","70.9",".275",2007
"131","4","Cleveland Cavaliers","25.8","12","8",".600","12","8","102.5","100.0","+2.5","85.7",".341",".217",".506",NA,".456","12.9","28.6",".252",NA,".464","13.8","76.6",".233",2007
"132","5","New Jersey Nets","28.3","6","6",".500","7","5","101.7","99.6","+2.1","88.7",".318",".284",".539",NA,".497","16.1","21.8",".236",NA,".463","14.1","76.4",".257",2007
"133","6","Golden State Warriors","25.3","5","6",".455","6","5","110.9","109.1","+1.8","95.3",".376",".382",".563",NA,".518","13.6","25.5",".277",NA,".493","16.9","63.9",".307",2007
"134","7","Chicago Bulls","26.1","6","4",".600","5","5","103.4","102.1","+1.3","89.4",".390",".220",".522",NA,".469","14.7","28.5",".284",NA,".475","13.8","73.0",".225",2007
"135","8","Utah Jazz","26.1","9","8",".529","9","8","106.9","105.9","+1.0","91.0",".349",".159",".534",NA,".486","14.9","31.4",".261",NA,".498","14.5","76.1",".294",2007
"136","9","Houston Rockets","27.7","3","4",".429","3","4","99.6","103.2","-3.6","87.6",".363",".308",".520",NA,".460","15.0","24.3",".286",NA,".467","11.8","75.0",".194",2007
"137","10","Toronto Raptors","25.5","2","4",".333","2","4","101.0","106.9","-5.9","89.9",".347",".197",".536",NA,".478","14.8","19.0",".279",NA,".521","15.7","76.3",".235",2007
"138","11","Denver Nuggets","26.8","1","4",".200","1","4","100.7","107.5","-6.8","87.6",".264",".181",".498",NA,".452","14.6","31.6",".207",NA,".493","11.9","71.7",".149",2007
"139","12","Dallas Mavericks","27.6","2","4",".333","2","4","105.7","112.8","-7.1","93.2",".371",".274",".524",NA,".466","14.8","31.9",".287",NA,".530","14.2","71.9",".272",2007
"140","13","Washington Wizards","27.8","0","4",".000","1","3","103.5","113.4","-9.9","88.4",".262",".247",".494",NA,".450","8.6","21.9",".202",NA,".490","12.8","67.7",".326",2007
"141","14","Orlando Magic","25.7","0","4",".000","1","3","102.9","113.5","-10.6","85.5",".394",".100",".519",NA,".495","14.8","28.3",".228",NA,".495","10.7","71.2",".330",2007
"142","15","Los Angeles Lakers","25.6","1","4",".200","1","4","103.8","114.8","-11.0","94.4",".251",".230",".513",NA,".479","13.7","31.4",".181",NA,".528","11.5","74.9",".225",2007
"143","16","Miami Heat","29.9","0","4",".000","1","3","96.9","108.9","-12.0","91.6",".365",".227",".512",NA,".482","14.5","19.6",".224",NA,".505","13.9","74.3",".257",2007
"144","","League Average","27.5","","","","5","5","104.9","104.9","","89.5",".337",".236",".530",NA,".483","14.0","27.0",".250",NA,".483","14.0","73.0",".250",2007
"145","Rk","Tm","Age","W","L","W/L%","PW","PL","ORtg","DRtg","NRtg","Pace","FTr","3PAr","TS%",NA,"eFG%","TOV%","ORB%","FT/FGA",NA,"eFG%","TOV%","DRB%","FT/FGA",2008
